epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.703,1.27146,1.58944,1.11674,0.66526,0.40255,0.45833,0.26488,1.51106,1.94108,1.2907,0.0700221,0.00333088,0.00333088
2,901.68,1.22803,0.9822,1.10292,0.81026,0.69647,0.76445,0.45284,1.19225,1.37199,1.06535,0.0400054,0.00664755,0.00664755
3,1336.04,1.22051,0.93868,1.10031,0.86027,0.76374,0.83516,0.51617,1.10231,1.09845,1.03322,0.00997212,0.00994756,0.00994756
4,1769.49,1.20508,0.87341,1.09885,0.87323,0.81365,0.86298,0.54748,1.0561,1.40914,1.00985,0.00992501,0.00992501,0.00992501
5,2206.82,1.17093,0.74072,1.09076,0.88648,0.82159,0.88992,0.56382,1.04092,0.70364,1.00919,0.00990001,0.00990001,0.00990001
6,3431.96,1.14088,0.68008,1.08846,0.90708,0.839,0.89505,0.57309,1.03812,0.94285,1.00678,0.00987501,0.00987501,0.00987501
7,3866.01,1.12918,0.631,1.08347,0.92587,0.8317,0.90895,0.59839,1.00974,0.7481,1.00368,0.00985002,0.00985002,0.00985002
8,4303.08,1.11593,0.60685,1.07908,0.91945,0.84786,0.90968,0.59853,0.99536,0.77902,0.99746,0.00982502,0.00982502,0.00982502
9,4738.43,1.10537,0.58938,1.07576,0.92683,0.87351,0.93088,0.61518,0.99319,0.66726,0.99924,0.00980002,0.00980002,0.00980002
10,5174.6,1.09284,0.56863,1.07111,0.94096,0.88598,0.94168,0.63583,0.97744,0.63418,0.99236,0.00977502,0.00977502,0.00977502
11,5615.79,1.08301,0.54718,1.07005,0.92743,0.8758,0.93067,0.6188,0.98602,0.70893,0.99792,0.00975003,0.00975003,0.00975003
12,6049.26,1.07658,0.54046,1.06694,0.93175,0.88543,0.9304,0.62887,0.97155,0.72416,0.98915,0.00972503,0.00972503,0.00972503
13,6491.86,1.07179,0.53843,1.06521,0.93781,0.88827,0.94335,0.64097,0.96176,0.60637,0.98396,0.00970003,0.00970003,0.00970003
14,6932.37,1.06364,0.52111,1.05999,0.93907,0.88963,0.93727,0.63453,0.95888,0.68029,0.98742,0.00967503,0.00967503,0.00967503
15,7365.79,1.05851,0.52146,1.05801,0.93565,0.8892,0.9437,0.64103,0.95285,0.57601,0.98229,0.00965003,0.00965003,0.00965003
16,7799.64,1.05029,0.50625,1.05632,0.94043,0.906,0.95135,0.65699,0.94621,0.69276,0.98073,0.00962504,0.00962504,0.00962504
17,8244.1,1.0518,0.50504,1.05278,0.9415,0.90153,0.94522,0.65009,0.94009,0.73943,0.97842,0.00960004,0.00960004,0.00960004
18,8686.19,1.04611,0.49992,1.05133,0.94586,0.9101,0.95016,0.66021,0.93713,0.71885,0.97483,0.00957504,0.00957504,0.00957504
19,9124.48,1.03967,0.49348,1.04917,0.94991,0.91158,0.95519,0.66035,0.93814,0.62292,0.97617,0.00955005,0.00955005,0.00955005
20,9559.99,1.04179,0.49525,1.04972,0.94363,0.91062,0.95326,0.66181,0.93692,0.59917,0.97467,0.00952505,0.00952505,0.00952505
21,10003.3,1.03118,0.48316,1.04684,0.94433,0.90363,0.95079,0.66106,0.93539,0.65931,0.97304,0.00950005,0.00950005,0.00950005
22,10446.5,1.02753,0.48129,1.04417,0.95119,0.91229,0.95482,0.66871,0.9279,0.62493,0.97275,0.00947505,0.00947505,0.00947505
23,10882.2,1.02499,0.47851,1.04457,0.94773,0.91274,0.95314,0.6681,0.9214,0.62858,0.96904,0.00945005,0.00945005,0.00945005
24,11317.6,1.02259,0.47476,1.04314,0.94934,0.91698,0.95737,0.67215,0.91629,0.58605,0.96476,0.00942506,0.00942506,0.00942506
25,11760.4,1.02451,0.4729,1.0414,0.95049,0.91512,0.95382,0.66658,0.923,0.62244,0.96706,0.00940006,0.00940006,0.00940006
26,12194.3,1.01921,0.471,1.04117,0.95084,0.92208,0.96062,0.68026,0.9116,0.60345,0.96525,0.00937506,0.00937506,0.00937506
27,13317.1,1.01559,0.46533,1.03858,0.95286,0.92252,0.96207,0.68276,0.91055,0.5781,0.96359,0.00935007,0.00935007,0.00935007
28,13754.1,1.01039,0.46145,1.03583,0.95216,0.91753,0.95616,0.67768,0.90769,0.67109,0.96328,0.00932507,0.00932507,0.00932507
29,14190.2,1.0134,0.46485,1.03575,0.95544,0.9248,0.96147,0.6792,0.91017,0.61167,0.96305,0.00930007,0.00930007,0.00930007
30,14630.7,1.01189,0.45876,1.036,0.95162,0.92328,0.96325,0.68184,0.90443,0.64543,0.96179,0.00927507,0.00927507,0.00927507
31,15067.2,1.01219,0.46549,1.03595,0.95594,0.92009,0.95961,0.67741,0.9114,0.66147,0.96311,0.00925008,0.00925008,0.00925008
32,15530.3,1.01177,0.45921,1.03506,0.95319,0.91885,0.95603,0.67469,0.90669,0.66816,0.96167,0.00922508,0.00922508,0.00922508
33,15966.1,1.00572,0.45744,1.03369,0.95285,0.92062,0.95704,0.67965,0.90358,0.67419,0.95987,0.00920008,0.00920008,0.00920008
34,16401.4,1.00484,0.45202,1.03332,0.95411,0.92602,0.96107,0.68771,0.90033,0.65681,0.95889,0.00917508,0.00917508,0.00917508
35,16836.2,1.00136,0.45428,1.03309,0.95596,0.92584,0.96087,0.68029,0.90582,0.7232,0.95878,0.00915009,0.00915009,0.00915009
36,17269.8,1.00221,0.45683,1.03427,0.95956,0.9274,0.96502,0.69133,0.89974,0.62531,0.95854,0.00912509,0.00912509,0.00912509
37,17703.1,0.99846,0.44962,1.03123,0.95845,0.92573,0.96204,0.68903,0.89497,0.69674,0.95714,0.00910009,0.00910009,0.00910009
38,18137,0.99861,0.44816,1.03002,0.95561,0.92795,0.96279,0.68965,0.89542,0.64612,0.95665,0.00907509,0.00907509,0.00907509
39,18570.3,0.9943,0.44609,1.02812,0.95994,0.92851,0.96535,0.69219,0.89624,0.65115,0.95656,0.0090501,0.0090501,0.0090501
40,19003.9,0.99232,0.44144,1.02952,0.96075,0.92473,0.96309,0.69208,0.89509,0.60868,0.95597,0.0090251,0.0090251,0.0090251
41,19437.4,0.99111,0.44085,1.02791,0.95521,0.92516,0.96158,0.68979,0.89331,0.58766,0.95559,0.0090001,0.0090001,0.0090001
42,19871.1,0.99144,0.43989,1.02868,0.95912,0.92544,0.96344,0.69165,0.8917,0.65282,0.95433,0.0089751,0.0089751,0.0089751
