epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.871,1.24879,0.92017,1.17488,0.87829,0.82499,0.87603,0.53363,1.14824,1.19946,1.10808,0.0700221,0.00333088,0.00333088
2,611.399,1.18636,0.64668,1.13239,0.91542,0.83197,0.88802,0.55676,1.09378,4.88816,1.06939,0.0400054,0.00664755,0.00664755
3,877.586,1.17032,0.61412,1.12266,0.93375,0.87199,0.92859,0.59589,1.05676,0.71723,1.04447,0.00997212,0.00994756,0.00994756
4,1136.67,1.15569,0.58071,1.11282,0.94796,0.88741,0.94156,0.62214,1.03104,0.67358,1.03058,0.00992501,0.00992501,0.00992501
5,1398.68,1.13071,0.54661,1.09968,0.94447,0.8965,0.94903,0.63926,0.99203,0.69551,1.00973,0.00990001,0.00990001,0.00990001
6,1658.05,1.11036,0.52231,1.09371,0.94812,0.90256,0.95217,0.63349,1.01889,0.76655,1.0184,0.00987501,0.00987501,0.00987501
7,1916.26,1.09417,0.50743,1.08299,0.95219,0.90851,0.95124,0.64806,0.98075,0.81717,1.00408,0.00985002,0.00985002,0.00985002
8,2170.9,1.08242,0.49463,1.07454,0.95196,0.89694,0.94564,0.65145,0.97641,0.6517,0.99946,0.00982502,0.00982502,0.00982502
9,2421.25,1.07466,0.48635,1.07359,0.95011,0.90442,0.95353,0.65084,0.97177,0.77104,0.99683,0.00980002,0.00980002,0.00980002
10,2670.8,1.0636,0.47543,1.06826,0.94725,0.91491,0.95097,0.65115,0.97361,0.71214,1.00207,0.00977502,0.00977502,0.00977502
11,2929.88,1.05684,0.47218,1.06707,0.95849,0.91533,0.96247,0.66882,0.95428,0.58281,0.99107,0.00975003,0.00975003,0.00975003
12,3193.43,1.04982,0.46741,1.06393,0.96139,0.91993,0.96217,0.67737,0.94356,0.68386,0.98943,0.00972503,0.00972503,0.00972503
13,3456.49,1.04445,0.46017,1.06037,0.95412,0.91795,0.959,0.66932,0.94599,0.6572,0.98576,0.00970003,0.00970003,0.00970003
14,3733.11,1.03983,0.45854,1.05731,0.95879,0.92511,0.96713,0.68561,0.93009,0.6546,0.98091,0.00967503,0.00967503,0.00967503
15,3995.96,1.03368,0.4537,1.05536,0.96277,0.92487,0.96532,0.68566,0.93065,0.66871,0.98229,0.00965003,0.00965003,0.00965003
16,4255.31,1.03186,0.44966,1.05605,0.9637,0.9248,0.96557,0.68646,0.92758,0.66821,0.97925,0.00962504,0.00962504,0.00962504
17,4519.6,1.03007,0.44844,1.05015,0.96083,0.92414,0.96523,0.68984,0.92061,0.68675,0.97604,0.00960004,0.00960004,0.00960004
18,4780.59,1.02693,0.4466,1.05095,0.96346,0.92931,0.96496,0.68838,0.92017,0.83405,0.97381,0.00957504,0.00957504,0.00957504
19,5038.59,1.0208,0.44385,1.04568,0.95987,0.9297,0.96916,0.6927,0.91709,0.57116,0.97294,0.00955005,0.00955005,0.00955005
20,5297.02,1.02079,0.44208,1.04644,0.96407,0.93263,0.96814,0.69076,0.91864,0.81138,0.97214,0.00952505,0.00952505,0.00952505
21,5555.66,1.01498,0.43947,1.04558,0.96461,0.9288,0.96848,0.69273,0.91534,0.70621,0.97268,0.00950005,0.00950005,0.00950005
22,5818.38,1.00731,0.43561,1.04194,0.96512,0.93088,0.97067,0.69626,0.90693,0.61198,0.96891,0.00947505,0.00947505,0.00947505
23,6076.93,1.00719,0.43597,1.0426,0.96676,0.93511,0.97158,0.69788,0.90884,0.72742,0.96924,0.00945005,0.00945005,0.00945005
24,6340.81,1.00528,0.43295,1.04131,0.96365,0.93354,0.97081,0.69922,0.90431,0.71259,0.96584,0.00942506,0.00942506,0.00942506
25,6607.43,1.00632,0.43346,1.03994,0.96738,0.93611,0.97317,0.70601,0.90135,0.62516,0.96694,0.00940006,0.00940006,0.00940006
26,6872.02,1.00251,0.42943,1.04064,0.96684,0.93372,0.97105,0.70262,0.90051,0.76849,0.96662,0.00937506,0.00937506,0.00937506
27,7134.18,0.99768,0.42762,1.03681,0.96502,0.93611,0.9732,0.70663,0.89902,0.59221,0.96504,0.00935007,0.00935007,0.00935007
